# ASASSN-15lh-SALT-new-mjd57209.99.photflux.dat writespec.pro: Thu Jul  9 12:59:17 2015
# flux matched to 57203 spectrum
#
       3398.4688   2.4504463e-15
       3398.7171   2.4873956e-15
       3398.9653   2.5094404e-15
       3399.2136   2.4690562e-15
       3399.4619   2.5053716e-15
       3399.7101   2.6448638e-15
       3399.9584   2.5164389e-15
       3400.2067   2.5533880e-15
       3400.4549   2.6392919e-15
       3400.7032   2.5968439e-15
       3400.9515   2.6187221e-15
       3401.1997   2.5416436e-15
       3401.4480   2.3941004e-15
       3401.6963   2.4541881e-15
       3401.9445   2.4840162e-15
       3402.1928   2.5045772e-15
       3402.4410   2.5446198e-15
       3402.6893   2.6279925e-15
       3402.9376   2.6210263e-15
       3403.1858   2.4453076e-15
       3403.4341   2.4138708e-15
       3403.6824   2.4254220e-15
       3403.9306   2.4845613e-15
       3404.1789   2.4587440e-15
       3404.4272   2.4823518e-15
       3404.6754   2.4499441e-15
       3404.9237   2.4462579e-15
       3405.1720   2.5062503e-15
       3405.4202   2.5479867e-15
       3405.6685   2.5251401e-15
       3405.9167   2.5108478e-15
       3406.1650   2.5820964e-15
       3406.4133   2.5424417e-15
       3406.6615   2.4661474e-15
       3406.9098   2.5974498e-15
       3407.1581   2.7205352e-15
       3407.4063   2.6388186e-15
       3407.6546   2.4938288e-15
       3407.9029   2.5897645e-15
       3408.1511   2.6404234e-15
       3408.3994   2.6020460e-15
       3408.6477   2.6011730e-15
       3408.8959   2.5227899e-15
       3409.1442   2.4807617e-15
       3409.3925   2.5419033e-15
       3409.6407   2.4768570e-15
       3409.8890   2.4668407e-15
       3410.1372   2.6093534e-15
       3410.3855   2.6478149e-15
       3410.6338   2.5541722e-15
       3410.8820   2.5150983e-15
       3411.1303   2.4586200e-15
       3411.3786   2.4236083e-15
       3411.6268   2.5657657e-15
       3411.8751   2.6173578e-15
       3412.1234   2.5667595e-15
       3412.3716   2.5303381e-15
       3412.6199   2.5099051e-15
       3412.8682   2.4895836e-15
       3413.1164   2.3523984e-15
       3413.3647   2.4661897e-15
       3413.6129   2.6521879e-15
       3413.8612   2.6104370e-15
       3414.1095   2.4881709e-15
       3414.3577   2.4096107e-15
       3414.6060   2.4893278e-15
       3414.8543   2.4582820e-15
       3415.1025   2.4468570e-15
       3415.3508   2.4776944e-15
       3415.5991   2.5218481e-15
       3415.8473   2.5785036e-15
       3416.0956   2.5629101e-15
       3416.3439   2.5008159e-15
       3416.5921   2.4541963e-15
       3416.8404   2.5057126e-15
       3417.0886   2.5243303e-15
       3417.3369   2.4556332e-15
       3417.5852   2.3595084e-15
       3417.8334   2.4020747e-15
       3418.0817   2.4682494e-15
       3418.3300   2.4375192e-15
       3418.5782   2.4746844e-15
       3418.8265   2.4204758e-15
       3419.0748   2.2926813e-15
       3419.3230   2.2334784e-15
       3419.5713   2.3592695e-15
       3419.8196   2.4690154e-15
       3420.0678   2.4204142e-15
       3420.3161   2.4338613e-15
       3420.5643   2.4198754e-15
       3420.8126   2.4605917e-15
       3421.0609   2.3940577e-15
       3421.3091   2.3525203e-15
       3421.5574   2.3956655e-15
       3421.8057   2.4964976e-15
       3422.0539   2.5657990e-15
       3422.3022   2.5538746e-15
       3422.5505   2.4107914e-15
       3422.7987   2.3473919e-15
       3423.0470   2.4950781e-15
       3423.2953   2.4750209e-15
       3423.5435   2.4068085e-15
       3423.7918   2.4919126e-15
       3424.0401   2.4201786e-15
       3424.2883   2.4531872e-15
       3424.5366   2.5032530e-15
       3424.7848   2.5317102e-15
       3425.0331   2.5054907e-15
       3425.2814   2.4633847e-15
       3425.5296   2.4692096e-15
       3425.7779   2.4589857e-15
       3426.0262   2.4263275e-15
       3426.2744   2.4016177e-15
       3426.5227   2.4757904e-15
       3426.7710   2.5640646e-15
       3427.0192   2.5908095e-15
       3427.2675   2.4052331e-15
       3427.5158   2.3140032e-15
       3427.7640   2.4303065e-15
       3428.0123   2.5412999e-15
       3428.2605   2.5075314e-15
       3428.5088   2.4193469e-15
       3428.7571   2.3896803e-15
       3429.0053   2.3323244e-15
       3429.2536   2.4411789e-15
       3429.5019   2.4979222e-15
       3429.7501   2.4326444e-15
       3429.9984   2.5175236e-15
       3430.2467   2.5031092e-15
       3430.4949   2.4751543e-15
       3430.7432   2.4964635e-15
       3430.9915   2.4139288e-15
