BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1001  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
5835.34262442585  1.233295E-18
5838.90031194683  1.631048E-18
5842.45799946781  1.418253E-18
5846.01568698879  1.565769E-18
5849.57337450977  1.663998E-18
5853.13106203075  1.300082E-18
5856.68874955173  1.430616E-18
5860.24643707271  1.354520E-18
5863.80412459369  9.269214E-19
5867.36181211468  1.203117E-18
5870.91949963566  1.140580E-18
5874.47718715664  1.049141E-18
5878.03487467762  1.321094E-18
5881.5925621986  1.214785E-18
5885.15024971958  8.564001E-19
5888.70793724056  8.904993E-19
5892.26562476154  8.875346E-19
5895.82331228252  1.824686E-18
5899.3809998035  1.177748E-18
5902.93868732448  9.733847E-19
5906.49637484546  1.111658E-18
5910.05406236645  1.267176E-18
5913.61174988742  1.311792E-18
5917.16943740841  1.125298E-18
5920.72712492939  1.016799E-18
5924.28481245037  1.176554E-18
5927.84249997135  1.398984E-18
5931.40018749233  1.053770E-18
5934.95787501331  1.236756E-18
5938.51556253429  1.503799E-18
5942.07325005527  1.227828E-18
5945.63093757625  1.265533E-18
5949.18862509723  1.028470E-18
5952.74631261821  1.235783E-18
5956.3040001392  1.430440E-18
5959.86168766018  1.343782E-18
5963.41937518116  1.493912E-18
5966.97706270214  1.086626E-18
5970.53475022312  1.044945E-18
5974.0924377441  1.114826E-18
5977.65012526508  9.637567E-19
5981.20781278606  1.096132E-18
5984.76550030704  9.573408E-19
5988.32318782802  1.106378E-18
5991.880875349  1.087812E-18
5995.43856286998  1.142249E-18
5998.99625039097  1.151883E-18
6002.55393791195  1.122085E-18
6006.11162543293  1.068121E-18
6009.66931295391  1.007867E-18
6013.22700047489  1.201811E-18
6016.78468799587  1.009611E-18
6020.34237551685  1.209073E-18
6023.90006303783  1.007751E-18
6027.45775055881  1.100210E-18
6031.01543807979  1.302023E-18
6034.57312560077  1.149394E-18
6038.13081312176  9.934059E-19
6041.68850064274  2.402937E-19
6045.24618816372  1.260555E-18
6048.8038756847  1.200903E-18
6052.36156320568  1.227240E-18
6055.91925072666  1.053297E-18
6059.47693824764  9.944068E-19
6063.03462576862  8.778414E-19
6066.5923132896  1.039320E-18
6070.15000081058  1.052289E-18
6073.70768833156  1.247327E-18
6077.26537585254  1.220699E-18
6080.82306337352  8.715670E-19
6084.38075089451  1.186671E-18
6087.93843841549  1.265067E-18
6091.49612593647  9.486853E-19
6095.05381345745  1.157392E-18
6098.61150097843  9.371953E-19
6102.16918849941  1.160297E-18
6105.72687602039  1.049610E-18
6109.28456354137  7.018096E-19
6112.84225106235  8.922923E-19
6116.39993858333  9.244527E-19
6119.95762610431  1.246478E-18
6123.51531362529  1.186676E-18
6127.07300114627  1.007479E-18
6130.63068866726  1.472669E-18
6134.18837618824  1.207326E-18
6137.74606370922  9.151860E-19
6141.3037512302  1.026505E-18
6144.86143875118  8.990530E-19
6148.41912627216  3.651977E-19
6151.97681379314  1.041498E-18
6155.53450131412  1.154914E-18
6159.0921888351  1.215552E-18
6162.64987635608  1.160052E-18
6166.20756387706  9.804429E-19
6169.76525139804  9.505471E-19
6173.32293891903  8.888930E-19
6176.88062644001  1.169127E-18
6180.43831396099  1.167221E-18
6183.99600148197  1.066132E-18
6187.55368900295  1.140688E-18
6191.11137652393  1.191885E-18
6194.66906404491  9.364369E-19
6198.22675156589  8.432742E-19
6201.78443908687  1.016671E-18
6205.34212660785  1.206446E-18
6208.89981412883  9.911178E-19
6212.45750164981  1.050990E-18
6216.0151891708  1.015044E-18
6219.57287669178  9.928706E-19
6223.13056421276  1.073707E-18
6226.68825173374  1.345369E-18
6230.24593925472  1.385292E-18
6233.8036267757  1.461204E-18
6237.36131429668  1.035546E-18
6240.91900181766  1.070341E-18
6244.47668933864  1.216418E-18
6248.03437685962  1.161914E-18
6251.5920643806  1.025837E-18
6255.14975190158  1.201654E-18
6258.70743942256  9.265487E-19
6262.26512694355  1.230593E-18
6265.82281446453  1.227277E-18
6269.38050198551  9.632996E-19
6272.93818950649  1.094368E-18
6276.49587702747  9.926634E-19
6280.05356454845  1.135100E-18
6283.61125206943  1.112474E-18
6287.16893959041  7.045352E-19
6290.72662711139  1.137679E-18
6294.28431463237  1.057051E-18
6297.84200215335  1.005046E-18
6301.39968967433  1.149467E-18
6304.95737719532  8.725462E-19
6308.5150647163  9.781770E-19
6312.07275223728  1.135862E-18
6315.63043975826  7.683478E-19
6319.18812727924  8.614227E-19
6322.74581480022  1.085043E-18
6326.3035023212  1.146919E-18
6329.86118984218  8.997626E-19
6333.41887736316  8.387272E-19
6336.97656488414  1.221382E-18
6340.53425240512  1.153002E-18
6344.0919399261  1.037169E-18
6347.64962744709  9.529434E-19
6351.20731496807  9.142026E-19
6354.76500248905  8.450904E-19
6358.32269001003  1.283163E-18
6361.88037753101  1.049615E-18
6365.43806505199  1.214792E-18
6368.99575257297  9.437086E-19
6372.55344009395  9.663392E-19
6376.11112761493  1.129283E-18
6379.66881513591  9.603069E-19
