     0.802617 -2.26637e-17  9.52486e-17
     0.842687  7.49968e-15  1.00627e-16
     0.842902  7.39103e-15  1.01014e-16
     0.843116  7.26694e-15  1.00697e-16
     0.843331  7.34749e-15  1.00824e-16
     0.843546  7.26974e-15  9.99613e-17
     0.843761  7.38171e-15  1.00508e-16
     0.843976  7.25322e-15  9.99479e-17
     0.844192  7.34829e-15  9.96942e-17
     0.844407  7.19339e-15  9.82222e-17
     0.844624  7.10792e-15  9.73860e-17
     0.844840  7.14014e-15  9.70494e-17
     0.845056  7.00293e-15  9.60534e-17
     0.845273  7.04838e-15  9.68228e-17
     0.845490  7.17605e-15  9.75490e-17
     0.845708  6.89560e-15  9.63355e-17
     0.845925  7.07393e-15  9.72846e-17
     0.846143  7.27808e-15  9.77893e-17
     0.846361  7.18230e-15  9.74547e-17
     0.846580  7.31230e-15  9.83875e-17
     0.846799  7.24987e-15  9.76131e-17
     0.847017  7.25990e-15  9.74022e-17
     0.847237  7.20357e-15  9.54871e-17
     0.847456  7.38174e-15  9.55632e-17
     0.847676  7.17090e-15  9.40048e-17
     0.847896  7.32311e-15  9.51435e-17
     0.848117  7.29909e-15  9.38826e-17
     0.848337  7.32721e-15  9.32570e-17
     0.848558  7.19226e-15  9.20415e-17
     0.848780  7.43753e-15  9.34435e-17
     0.849001  7.71049e-15  9.56742e-17
     0.849223  6.77569e-15  9.18946e-17
     0.849445  6.99543e-15  9.40090e-17
     0.849668  8.15378e-15  9.88802e-17
     0.849891  7.97371e-15  9.81132e-17
     0.850114  8.04476e-15  9.80771e-17
     0.850337  7.92615e-15  9.67855e-17
     0.850561  8.05734e-15  9.70255e-17
     0.850785  8.06021e-15  9.67765e-17
     0.851009  8.19951e-15  9.73900e-17
     0.851234  8.55637e-15  1.09136e-16
     0.851458  6.00559e-15  9.35118e-17
     0.851684  4.88495e-15  8.87651e-17
     0.851909  7.97359e-15  9.29712e-17
     0.852135  8.08836e-15  9.29575e-17
     0.852361  8.14279e-15  9.30672e-17
     0.852588  8.05697e-15  9.28992e-17
     0.852815  8.24331e-15  9.39876e-17
     0.853042  8.50633e-15  9.55449e-17
     0.853269  8.46366e-15  9.60639e-17
     0.853497  8.54864e-15  9.66998e-17
     0.853725  8.85816e-15  9.85792e-17
     0.853954  9.08413e-15  1.00724e-16
     0.854182  9.04644e-15  1.01133e-16
     0.854412  9.21957e-15  1.00355e-16
