      9109.81 -3.54572e-15  6.57709e-15
      10128.6  1.94079e-15  8.71470e-17
      10129.8  2.02129e-15  8.89999e-17
      10131.1  2.17145e-15  8.72737e-17
      10132.3  2.06944e-15  8.34642e-17
      10133.5  2.09417e-15  7.95545e-17
      10134.7  2.13315e-15  7.93209e-17
      10136.0  2.20585e-15  8.05871e-17
      10137.2  2.10995e-15  8.18955e-17
      10138.4  2.20111e-15  8.64552e-17
      10139.7  2.12118e-15  8.29849e-17
      10140.9  2.17462e-15  7.98352e-17
      10142.1  2.13404e-15  8.39792e-17
      10143.3  2.06054e-15  7.78093e-17
      10144.6  2.02769e-15  8.20350e-17
      10145.8  1.97369e-15  8.65026e-17
      10147.0  2.02138e-15  8.43997e-17
      10148.2  2.05401e-15  8.00414e-17
      10149.5  2.06743e-15  7.72337e-17
      10150.7  2.02667e-15  7.91236e-17
      10151.9  1.96039e-15  8.25488e-17
      10153.2  1.97249e-15  8.61546e-17
      10154.4  1.98811e-15  9.08955e-17
      10155.6  1.96768e-15  8.96437e-17
      10156.8  2.07918e-15  8.48154e-17
      10158.1  2.45365e-15  7.92616e-17
      10159.3  2.85770e-15  8.13588e-17
      10160.5  2.78994e-15  8.64561e-17
      10161.8  2.59149e-15  8.97866e-17
      10163.0  2.20723e-15  8.44689e-17
      10164.2  1.94226e-15  7.92158e-17
      10165.4  1.93716e-15  7.77155e-17
      10166.7  1.92815e-15  7.90746e-17
      10167.9  1.87492e-15  8.18276e-17
      10169.1  1.88974e-15  8.65610e-17
      10170.3  1.83366e-15  8.25614e-17
      10171.6  1.75052e-15  8.10906e-17
      10172.8  1.81523e-15  8.82956e-17
      10174.0  2.08795e-15  9.91922e-17
      10175.2  1.96555e-15  9.82091e-17
      10176.5  1.86840e-15  9.02808e-17
      10177.7  1.91701e-15  8.67759e-17
      10178.9  1.83333e-15  7.63538e-17
      10180.2  1.75586e-15  7.21651e-17
      10181.4  1.79555e-15  7.56513e-17
      10182.6  1.82209e-15  7.77553e-17
      10183.8  1.81389e-15  8.18504e-17
      10185.1  1.76951e-15  8.45518e-17
      10186.3  1.72195e-15  7.83179e-17
      10187.5  1.69258e-15  7.42282e-17
      10188.7  1.76374e-15  7.46760e-17
      10190.0  1.67821e-15  7.87795e-17
      10191.2  1.72434e-15  9.20096e-17
      10192.4  1.80090e-15  9.93894e-17
      10193.6  1.59065e-15  9.35309e-17
      10194.9  1.66390e-15  8.05349e-17
      10196.1  1.60913e-15  7.50343e-17
      10197.3  1.64374e-15  7.59560e-17
      10198.6  1.67207e-15  8.16987e-17
      10199.8  1.66054e-15  8.16780e-17
      10201.0  1.62705e-15  8.17329e-17
      10202.2  1.61292e-15  7.71119e-17
      10203.5  1.61537e-15  7.62407e-17
      10204.7  1.52503e-15  8.02680e-17
      10205.9  1.73476e-15  8.11205e-17
      10207.1  1.58789e-15  8.19802e-17
      10208.4  1.55553e-15  8.34339e-17
      10209.6  1.57888e-15  7.84998e-17
      10210.8  1.50226e-15  7.97743e-17
      10212.0  1.46284e-15  9.14590e-17
      10213.3  1.42040e-15  9.66608e-17
      10214.5  1.44951e-15  9.28117e-17
      10215.7  1.51394e-15  8.72162e-17
      10216.9  1.48086e-15  7.94904e-17
      10218.2  1.39587e-15  7.33014e-17
      10219.4  1.41987e-15  7.22159e-17
      10220.6  1.42594e-15  7.45999e-17
      10221.8  1.30468e-15  8.25012e-17
      10223.1  1.32721e-15  8.26692e-17
      10224.3  1.33885e-15  7.96477e-17
      10225.5  1.42420e-15  7.63655e-17
      10226.8  1.32075e-15  8.22880e-17
      10228.0  1.28625e-15  8.39226e-17
      10229.2  1.31748e-15  8.53679e-17
      10230.4  1.33329e-15  8.41789e-17
      10231.7  1.36735e-15  8.49684e-17
      10232.9  1.26603e-15  8.24130e-17
      10234.1  1.31889e-15  8.07183e-17
      10235.3  1.45827e-15  7.54747e-17
      10236.6  1.36713e-15  7.51853e-17
      10237.8  1.25060e-15  7.77399e-17
      10239.0  1.20750e-15  8.21368e-17
      10240.2  1.30952e-15  7.70686e-17
      10241.5  1.36793e-15  7.40425e-17
      10242.7  1.38588e-15  7.20528e-17
      10243.9  1.24973e-15  7.96766e-17
      10245.1  1.17012e-15  7.23412e-17
      10246.4  1.16629e-15  7.17550e-17
      10247.6  1.16824e-15  6.73393e-17
      10248.8  1.22442e-15  6.42088e-17
      10250.0  1.25805e-15  6.93865e-17
      10251.3  1.28081e-15  6.98193e-17
      10252.5  1.21737e-15  7.40463e-17
      10253.7  1.20245e-15  7.92463e-17
      10254.9  1.17995e-15  7.81628e-17
      10256.2  1.19427e-15  7.24788e-17
      10257.4  1.15076e-15  7.05148e-17
      10258.6  1.16729e-15  7.10523e-17
      10259.8  1.10670e-15  7.30633e-17
      10261.1  1.22595e-15  7.76798e-17
      10262.3  1.24253e-15  7.96522e-17
      10263.5  1.19906e-15  7.87632e-17
